# Rodada 1 - 2026-01-13 09:40:19
instance,ofv,time_best,time_total
100_5_v2.txt,270.038421,149.104,150.014
100_10_v2.txt,252.952013,142.131,150.009
100_15_v2.txt,236.162407,132.979,150.013
200_5_v2.txt,479.975328,147.838,150.035
200_10_v2.txt,486.358136,150.036,150.038
200_15_v2.txt,431.930081,150.016,150.020
300_5_v2.txt,759.061569,150.055,150.065
300_10_v2.txt,729.271696,150.050,150.056
300_15_v2.txt,711.874612,150.121,150.162
400_5_v2.txt,921.614431,150.073,150.090
400_10_v2.txt,924.133636,150.732,150.769
400_15_v2.txt,878.116885,150.612,150.644
500_5_v2.txt,1138.950075,150.430,150.484
500_10_v2.txt,1107.551820,150.507,150.555
500_15_v2.txt,1175.369002,150.618,150.674
600_5_v2.txt,1353.796195,151.258,151.339
600_10_v2.txt,1365.930541,150.158,150.483
600_15_v2.txt,1304.667498,150.816,150.916
700_5_v2.txt,1451.557422,150.570,150.737
700_10_v2.txt,1599.657142,150.460,150.545
700_15_v2.txt,1410.218220,151.841,151.985
